Report

k; seed; edge_density; Algorithm; n; Trials
24997500.0; None; 0.5; MVA; 10000; 10

---
## Time - Output Parameters
; mean; std
t_merge_cliques;      0.090642499923706;      0.001278051365802
t_expand_cliques;      0.087378692626953;      0.021219206928947
total;      0.178021192550659;      0.021936205226241
nodes;  10000.000000000000000;      0.000000000000000
edges; 24997489.600000001490116;     16.070677231114644

---
## Clique trees


; mean; std
num;    223.199999999999989;     74.544244878088634
min_size;      1.000000000000000;      0.000000000000000
max_size;   6966.199999999999818;     83.486259681192777
sum_size;  10151.700000000000728;     48.522732358715693
avg_size;     50.899999999999999;     20.566693679074643
sum_weight;    151.699999999999989;     48.522732358715700
avg_weight;      0.000000000000000;      0.000000000000000
num_edges; 24997489.600000001490116;     16.070677231114644
width;      0.000000000000000;      0.000000000000000
height;      0.000000000000000;      0.000000000000000
