Report

k; seed; edge_density; Algorithm; n; Trials
12499975000.0; None; 0.1; MVA; 500000; 10

---
## Time - Output Parameters
; mean; std
t_merge_cliques;     20.444160890579223;      0.126580280032254
t_expand_cliques;      4.440297055244446;      0.081989521021571
total;     24.884457945823669;      0.140340838365429
nodes; 500000.000000000000000;      0.000000000000000
edges; 12499975000.000000000000000;      0.000000000000000

---
## Clique trees


; mean; std
num;  36511.500000000000000;   8324.001284772179133
min_size;      1.000000000000000;      0.000000000000000
max_size; 151570.399999999994179;  10512.459318985893333
sum_size; 525950.500000000000000;   5957.585701346552014
avg_size;     14.699999999999999;      4.498147766951785
sum_weight;  25950.500000000000000;   5957.585701346552014
avg_weight;      0.000000000000000;      0.000000000000000
num_edges; 12499975000.000000000000000;      0.000000000000000
width;      0.000000000000000;      0.000000000000000
height;      0.000000000000000;      0.000000000000000
