Report

k; seed; edge_density; Algorithm; n; Trials
1561875.0; None; 0.5; MVA; 2500; 10

---
## Time - Output Parameters
; mean; std
t_merge_cliques;      0.023098325729370;      0.003233409011823
t_expand_cliques;      0.018998193740845;      0.000360601894949
total;      0.042096519470215;      0.003509860201658
nodes;   2500.000000000000000;      0.000000000000000
edges; 1557279.199999999953434;  14115.002119888060406

---
## Clique trees


; mean; std
num;     87.700000000000003;     48.396625226696678
min_size;     18.300000000000001;     54.707403520912962
max_size;   1710.400000000000091;    115.052838103001847
sum_size;   2562.800000000000182;     34.041804365286580
avg_size;    118.000000000000000;    206.884294017479988
sum_weight;     62.799999999999997;     34.041804365286580
avg_weight;      0.000000000000000;      0.000000000000000
num_edges; 1557279.199999999953434;  14115.002119888060406
width;      0.000000000000000;      0.000000000000000
height;      0.000000000000000;      0.000000000000000
