Report

k; seed; edge_density; Algorithm; n; Trials
312375.0; None; 0.1; MVA; 2500; 10

---
## Time - Output Parameters
; mean; std
t_merge_cliques;      0.023712015151977;      0.003431960787978
t_expand_cliques;      0.025202941894531;      0.018337061082209
total;      0.048914957046509;      0.021543747163522
nodes;   2500.000000000000000;      0.000000000000000
edges; 312374.900000000023283;      0.316227766016838

---
## Clique trees


; mean; std
num;    326.500000000000000;     71.890734992610675
min_size;      1.000000000000000;      0.000000000000000
max_size;    695.799999999999955;     63.324209869176855
sum_size;   2715.500000000000000;     50.586010362989136
avg_size;      8.100000000000000;      1.663329993316620
sum_weight;    215.500000000000000;     50.586010362989136
avg_weight;      0.000000000000000;      0.000000000000000
num_edges; 312374.900000000023283;      0.316227766016838
width;      0.000000000000000;      0.000000000000000
height;      0.000000000000000;      0.000000000000000
