Report

k; seed; edge_density; Algorithm; n; Trials
123749752500.0; None; 0.99; MVA; 500000; 10

---
## Time - Output Parameters
; mean; std
t_merge_cliques;     20.737923312187196;      0.081325566169524
t_expand_cliques;      4.445570707321167;      0.056082414560310
total;     25.183494019508363;      0.091100855297014
nodes; 500000.000000000000000;      0.000000000000000
edges; 123686769821.399993896484375; 198411816.708449691534042

---
## Clique trees


; mean; std
num;    225.500000000000000;    136.085961395321334
min_size;    379.600000000000023;   1197.238322139748561
max_size; 497364.500000000000000;    403.544641616981210
sum_size; 500150.500000000000000;     88.962226690757788
avg_size;  28389.299999999999272;  78028.509241530147847
sum_weight;    150.500000000000000;     88.962226690757788
avg_weight;      0.000000000000000;      0.000000000000000
num_edges; 123686769821.399993896484375; 198411816.708449691534042
width;      0.000000000000000;      0.000000000000000
height;      0.000000000000000;      0.000000000000000
