Report

k; seed; edge_density; Algorithm; n; Trials
1237475250.0; None; 0.99; MVA; 50000; 10

---
## Time - Output Parameters
; mean; std
t_merge_cliques;      0.602019143104553;      0.003553998454292
t_expand_cliques;      0.392173767089844;      0.005614429057286
total;      0.994192910194397;      0.006788959968841
nodes;  50000.000000000000000;      0.000000000000000
edges; 1237463247.200000047683716;   5186.086167172054957

---
## Clique trees


; mean; std
num;     36.500000000000000;     15.827191791344413
min_size;      1.000000000000000;      0.000000000000000
max_size;  49749.000000000000000;      0.000000000000000
sum_size;  50021.900000000001455;     10.278888828835321
avg_size;   1604.900000000000091;    641.076429834141436
sum_weight;     21.899999999999999;     10.278888828835321
avg_weight;      0.000000000000000;      0.000000000000000
num_edges; 1237463247.200000047683716;   5186.086167172054957
width;      0.000000000000000;      0.000000000000000
height;      0.000000000000000;      0.000000000000000
