Report

k; seed; edge_density; Algorithm; n; Trials
3092512.5; None; 0.99; MVA; 2500; 10

---
## Time - Output Parameters
; mean; std
t_merge_cliques;      0.022116994857788;      0.000410734840885
t_expand_cliques;      0.018833994865418;      0.000401892660316
total;      0.040950989723206;      0.000709396482864
nodes;   2500.000000000000000;      0.000000000000000
edges; 3064241.299999999813735;  34234.242305524057883

---
## Clique trees


; mean; std
num;      4.000000000000000;      2.624669291337270
min_size;     18.899999999999999;     19.289893727027113
max_size;   2475.900000000000091;     14.043187355835965
sum_size;   2502.000000000000000;      2.160246899469287
avg_size;    859.200000000000045;    426.615569857037030
sum_weight;      2.000000000000000;      2.160246899469287
avg_weight;      0.000000000000000;      0.000000000000000
num_edges; 3064241.299999999813735;  34234.242305524057883
width;      0.000000000000000;      0.000000000000000
height;      0.000000000000000;      0.000000000000000
