Report

k; seed; edge_density; Algorithm; n; Trials
37496250.0; None; 0.75; MVA; 10000; 10

---
## Time - Output Parameters
; mean; std
t_merge_cliques;      0.093319344520569;      0.001112291742040
t_expand_cliques;      0.082278800010681;      0.022492951180334
total;      0.175598144531250;      0.022790870388094
nodes;  10000.000000000000000;      0.000000000000000
edges; 36421934.899999998509884; 3395569.480281537864357

---
## Clique trees


; mean; std
num;    141.099999999999994;     81.444527815631119
min_size;    368.600000000000023;   1162.453267877896224
max_size;   8416.500000000000000;    734.914847675112242
sum_size;  10101.200000000000728;     55.302802822280178
avg_size;    569.100000000000023;   1557.525705156169124
sum_weight;    101.200000000000003;     55.302802822280178
avg_weight;      0.000000000000000;      0.000000000000000
num_edges; 36421934.899999998509884; 3395569.480281537864357
width;      0.000000000000000;      0.000000000000000
height;      0.000000000000000;      0.000000000000000
