Report

n; k; seed; Algorithm; version; Trials
1000; 320; None; SHET; AlgorithmVersion.Index; 10

---
## Time - Output Parameters
; mean; std
t_real_tree;      0.119051653744581;      0.214494590728037
t_subtrees_2;      2.823299009473766;      0.326865825407198
t_ctree;      1.949965248286993;      0.201777252034614
t_chordal;      0.698222815148196;      0.115960152072969
t_forestverify;      1.198753854094694;      0.478127290288549
ncc;      1.000000000000000;      0.000000000000000
total;      4.892315911505341;      0.431779225569429
ratio[total/chordal];      7.100124778954563;      0.832007028004975
ratio[total/forest];      4.599349834850078;      1.604902165083511
ratio[total/[chordal+forest]];      2.703175976045732;      0.647506725301644
nodes;   1000.000000000000000;      0.000000000000000
edges; 482135.599999999976717;  11864.329397165456612
edge_density;      0.965236436436437;      0.023752411205536

---
## Clique trees


; mean; std
num;   1000.000000000000000;      0.000000000000000
min_size;     44.500000000000000;     25.237758308622510
max_size;    901.799999999999955;     46.453800227274797
sum_size; 349288.200000000011642;  33345.562719298446609
avg_size;    349.288200000000018;     33.345562719298456
sum_weight; 348288.200000000011642;  33345.562719298446609
avg_weight;    348.636836836836835;     33.378941660959406
num_edges;    999.000000000000000;      0.000000000000000
width;      9.900000000000000;      1.370320319406298
height;     14.800000000000001;      1.751190071541826


; mean; std
num;      8.699999999999999;      5.292552419306880
min_size;    585.799999999999955;    137.863700806267360
max_size;    901.799999999999955;     46.453800227274797
sum_size;   6482.500000000000000;   3149.388132814231540
avg_size;    776.579246309246287;     65.441769966839601
sum_weight;   5482.500000000000000;   3149.388132814231540
avg_weight;    742.230595238095248;     60.871419486243454
num_edges;      7.700000000000000;      5.292552419306880
width;      2.400000000000000;      0.516397779494322
height;      4.100000000000000;      1.197218999737865
