Report

n; k; seed; Algorithm; version; Trials
1000; 80; None; SHET; AlgorithmVersion.Index; 10

---
## Time - Output Parameters
; mean; std
t_real_tree;      0.006853324557786;      0.001370822083333
t_subtrees_2;      0.633767570438786;      0.069132385831390
t_ctree;      0.936203433387316;      0.150365339302583
t_chordal;      0.465095079048199;      0.050414151101640
t_forestverify;      0.402544624203578;      0.071120037813290
ncc;      1.000000000000000;      0.000000000000000
total;      1.576824328383888;      0.174089240643341
ratio[total/chordal];      3.404640393365629;      0.355493341503131
ratio[total/forest];      3.996760798338202;      0.675688488027175
ratio[total/[chordal+forest]];      1.833485477342405;      0.231221949618528
nodes;   1000.000000000000000;      0.000000000000000
edges; 288915.500000000000000;  33595.607547713734675
edge_density;      0.578409409409409;      0.067258473568996

---
## Clique trees


; mean; std
num;   1000.000000000000000;      0.000000000000000
min_size;      1.400000000000000;      3.438345855527367
max_size;    526.799999999999955;     61.990680303126567
sum_size;  75054.199999999997090;   7612.690074985173851
avg_size;     75.054199999999994;      7.612690074985174
sum_weight;  74054.199999999997090;   7612.690074985173851
avg_weight;     74.128328328328323;      7.620310385370546
num_edges;    999.000000000000000;      0.000000000000000
width;     10.400000000000000;      1.955050439815357
height;     13.800000000000001;      1.316561177208767


; mean; std
num;     18.000000000000000;      3.944053188733077
min_size;    101.099999999999994;     58.058304028507983
max_size;    526.799999999999955;     61.990680303126567
sum_size;   4987.800000000000182;    758.896538110140227
avg_size;    283.035995215150365;     44.834416627285457
sum_weight;   3987.800000000000182;    758.896538110140227
avg_weight;    239.177001218091362;     41.570203903967261
num_edges;     17.000000000000000;      3.944053188733077
width;      3.700000000000000;      0.948683298050514
height;      5.500000000000000;      1.581138830084190
