Report

n; k; seed; Algorithm; version; Trials
1000; 440; None; SHET; AlgorithmVersion.Index; 10

---
## Time - Output Parameters
; mean; std
t_real_tree;      0.024440524730383;      0.055637996687495
t_subtrees_2;      3.859924686415289;      0.611919754196267
t_ctree;      2.323520901550924;      0.263986075115826
t_chordal;      0.771447712668194;      0.030681075564276
t_forestverify;      1.250800074555739;      0.565457368593098
ncc;      1.000000000000000;      0.000000000000000
total;      6.207886112696596;      0.732514118728821
ratio[total/chordal];      8.059858872676809;      1.013781786596586
ratio[total/forest];      7.289805891122950;      7.247157005367320
ratio[total/[chordal+forest]];      3.368123581568663;      1.384284306807303
nodes;   1000.000000000000000;      0.000000000000000
edges; 481328.700000000011642;  17006.089060163780232
edge_density;      0.963621021021021;      0.034046224344672

---
## Clique trees


; mean; std
num;   1000.000000000000000;      0.000000000000000
min_size;     65.599999999999994;     47.013473246152181
max_size;    902.100000000000023;     71.070309475116886
sum_size; 423843.000000000000000;  69672.003232607312384
avg_size;    423.843000000000018;     69.672003232607324
sum_weight; 422843.000000000000000;  69672.003232607312384
avg_weight;    423.266266266266257;     69.741744977584901
num_edges;    999.000000000000000;      0.000000000000000
width;     10.500000000000000;      1.649915822768611
height;     14.199999999999999;      0.788810637746616


; mean; std
num;      8.000000000000000;      4.737556801183965
min_size;    637.200000000000045;    218.828598577872270
max_size;    902.100000000000023;     71.070309475116886
sum_size;   5992.899999999999636;   3073.169281594057338
avg_size;    808.157813852813888;    118.441712748313122
sum_weight;   4992.899999999999636;   3073.169281594057338
avg_weight;    683.532069597069608;    260.416095827699962
num_edges;      7.000000000000000;      4.737556801183965
width;      2.100000000000000;      1.100504934614612
height;      3.600000000000000;      1.897366596101028
